nombre_de_producto,categoria,marca,precio,unidades_disponibles,en_descuento,precio_de_descuento,metodo_de_envio,metodos_de_pago,opciones_de_financiacion,politicas_de_devolucion,instrucciones_de_compra
Manoplas Mini de Instant Pot,Cocina y Hogar,Instant Pot,3327.93,20,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Xpressive-Contemporary Cloudfoam de Running para Mujeres de Adidas,"Ropa, Zapatos y Accesorios",Adidas,9828.41,177,True,5411.26,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Mezcladora de mano de 9 velocidades KitchenAid,Cocina y Hogar,KitchenAid,3083.96,378,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Aspiradora inalámbrica Dyson V6 Animal,Cocina y Hogar,Dyson,7237.38,147,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple AirPods (3ra Generación),Electrónica,Apple,9295.4,21,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Edge Lux 3 de Running para Mujeres de Adidas,"Ropa, Zapatos y Accesorios",Adidas,6287.7,333,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Pantalón de entrenamiento Core 18 de Adidas para Hombres,"Ropa, Zapatos y Accesorios",Adidas,9190.93,617,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Altavoz Portátil Bluetooth Bose SoundLink Revolve+,Electrónica,Bose,7121.07,708,True,4176.64,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Altavoz Bluetooth Bose SoundLink Micro,Electrónica,Bose,6609.67,816,True,4503.18,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Tazón de vidrio de 5 cuartos de galón KitchenAid,Cocina y Hogar,KitchenAid,5796.98,225,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Mallas 3-Stripes Designed 2 Move de Adidas,Deportes y Aire Libre,Adidas,933.78,591,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Sudadera con Capucha Half Dome para Mujer de The North Face,Deportes y Aire Libre,The North Face,914.08,491,True,721.82,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bolso de cruzada de piel Diagramme de Mujeres de Prada,"Ropa, Zapatos y Accesorios",Prada,1315.37,71,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Shorts de Entrenamiento para Mujer Play Up 3.0 de Under Armour,Deportes y Aire Libre,Under Armour,783.62,194,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Chaqueta The North Face Resolve 2,Deportes y Aire Libre,The North Face,376.18,10,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Rompecabezas de Piso Solar System de Melissa & Doug,Juguetes y Juegos,Melissa & Doug,2404.43,961,True,1676.73,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Aspiradora inalámbrica Dyson V8 Absolute,Cocina y Hogar,Dyson,8303.94,345,True,4235.87,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Cúpula Dúo de Cuna y Calma Soothe 'n Play de Fisher-Price,Juguetes y Juegos,Fisher-Price,2470.03,758,True,1453.15,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Camisa de Manga Corta PFG Bonehead para Hombre de Columbia,Deportes y Aire Libre,Columbia,640.15,572,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Samsung Galaxy S21,Electrónica,Samsung,2159.86,150,True,1191.59,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Camiseta de manga corta Threadborne Streaker de Under Armour,"Ropa, Zapatos y Accesorios",Under Armour,8834.31,861,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas de Running Nike Air Zoom Pegasus 38,Deportes y Aire Libre,Nike,422.34,658,True,369.91,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Gimnasio Musical Patada y Juega Deluxe de Fisher-Price,Juguetes y Juegos,Fisher-Price,239.39,43,True,211.99,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Mochila Classic 3S II de Adidas,"Ropa, Zapatos y Accesorios",Adidas,2657.7,848,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Horno tostador freidora de aire compacto Cuisinart,Cocina y Hogar,Cuisinart,2380.25,879,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Tapa de silicona de Instant Pot,Cocina y Hogar,Instant Pot,3376.52,671,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple iPhone 13 Pro,Electrónica,Apple,1284.46,249,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Smartphone Desbloqueado LG K51,Electrónica,LG,6913.06,517,True,5026.25,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Gafas de sol Cat Eye para Mujeres de Prada,"Ropa, Zapatos y Accesorios",Prada,555.14,626,True,352.53,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Altavoces Traseros Inalámbricos Bose Virtually Invisible 300,Electrónica,Bose,5457.47,874,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Bolso pequeño de hombro GG Marmont de Gucci,"Ropa, Zapatos y Accesorios",Gucci,7975.2,559,True,4307.57,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Conecta 4,Juguetes y Juegos,Hasbro,834.86,371,True,627.46,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Juego de Cartas UNO,Juguetes y Juegos,Mattel,1720.21,218,True,1023.04,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Zapatillas Ace bordadas para Hombres de Gucci,"Ropa, Zapatos y Accesorios",Gucci,7876.68,902,True,6763.25,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Granja para Cuidar de Animales Little People de Fisher-Price,Juguetes y Juegos,Fisher-Price,2342.86,25,True,1477.35,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Auriculares Inalámbricos con Cancelación de Ruido Sony WH-XB900N,Electrónica,Sony,9120.61,689,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Smartphone Android LG Stylo 6,Electrónica,LG,7567.92,386,True,4408.34,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Camiseta de Entrenamiento Dri-FIT Nike Legend,Deportes y Aire Libre,Nike,470.48,35,True,402.28,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Set de Bloques de Construcción de Madera de Melissa & Doug,Juguetes y Juegos,Melissa & Doug,413.54,701,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple iPhone 13,Electrónica,Apple,9406.19,650,True,7833.42,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
TV LED Inteligente 4K UHD Sony X750H,Electrónica,Sony,5602.23,737,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Gafas de Sol con Audio Bose Frames Tempo,Electrónica,Bose,3664.12,98,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Cesta de vapor de silicona de Instant Pot,Cocina y Hogar,Instant Pot,5826.37,551,True,4458.69,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Apple iMac,Electrónica,Apple,1757.38,589,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Trivial Pursuit Edición Familiar,Juguetes y Juegos,Hasbro,666.85,335,True,425.51,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Chaqueta The North Face Venture 2 para Hombre,Deportes y Aire Libre,The North Face,350.27,104,False,,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
TV LED Inteligente 4K Sony X900H,Electrónica,Sony,9444.56,106,True,5428.97,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
Juego Clue,Juguetes y Juegos,Hasbro,1949.19,520,True,1187.98,"Envio estandar: $10.00, Envio premium: $25.00","Tarjeta de credito, Paypal o Apple Pay","0\% de interes por 12 meses, 5\% de interes por 24 meses o 10\% de interes por 36 meses",Puedes devolver el producto dentro de 30 dias para un reembolso completo.,"Para completar tu compra, agrega el producto a tu carrito, procede al pago y selecciona tu método de pago preferido. Sigue las instrucciones en pantalla para completar la información de pago y envío."
